stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,platform_code
317015,317015,"Worongary Rd near Mudgeeraba Rd hail 'n' ride",, -28.061939, 153.353771,5,https://translink.com.au/stop/317015/gtfs/,0,,
317017,317017,"Worongary Rd near Glenrowan Dr hail 'n' ride",, -28.049737, 153.320501,5,https://translink.com.au/stop/317017/gtfs/,0,,
317018,317018,"Worongary Rd near Glenrowan Rd hail 'n' ride",, -28.049511, 153.320452,5,https://translink.com.au/stop/317018/gtfs/,0,,
317019,317019,"Worongary Rd near Vince Hinde Dr hail 'n' ride",, -28.059825, 153.337246,5,https://translink.com.au/stop/317019/gtfs/,0,,
317020,317020,"Worongary Rd near Harry Mills Dr hail 'n' ride",, -28.052594, 153.325335,5,https://translink.com.au/stop/317020/gtfs/,0,,
317056,317056,"Werin St at Crank Street",, -26.385803, 153.033401,8,https://translink.com.au/stop/317056/gtfs/,0,,
317094,317094,"Griffith Ave near Golf Course Dr",, -26.390465, 153.013731,8,https://translink.com.au/stop/317094/gtfs/,0,,
3171,003171,"Phillips St at St Josephs",, -27.327231, 153.034168,2,https://translink.com.au/stop/003171/gtfs/,0,,
317117,317117,"Werin St at Crank Street",, -26.385706, 153.033555,8,https://translink.com.au/stop/317117/gtfs/,0,,
317122,317122,"Griffith Ave near Parkview Ct",, -26.391966, 153.010237,8,https://translink.com.au/stop/317122/gtfs/,0,,
317151,317151,"Cooroy Noosa Rd at Sunrise Road",, -26.403827, 152.980088,8,https://translink.com.au/stop/317151/gtfs/,0,,
317168,317168,"Church St near Tivoli Primary",, -27.582320, 152.777613,3,https://translink.com.au/stop/317168/gtfs/,0,,
317171,317171,"Pumicestone Rd at Toorbul Hall",, -27.033181, 153.096344,4,https://translink.com.au/stop/317171/gtfs/,0,,
317172,317172,"Pumicestone Rd near Elimbah Ave hail 'n' ride",, -27.042649, 153.070500,4,https://translink.com.au/stop/317172/gtfs/,0,,
317173,317173,"Pumicestone Rd near Kleise St hail 'n' ride",, -27.043605, 153.072994,4,https://translink.com.au/stop/317173/gtfs/,0,,
317174,317174,"Pumicestone Rd near Perry Rd hail 'n' ride",, -27.042287, 153.082811,4,https://translink.com.au/stop/317174/gtfs/,0,,
317175,317175,"Freeman Rd near The Esplanade hail 'n' ride",, -27.032096, 153.098430,4,https://translink.com.au/stop/317175/gtfs/,0,,
317176,317176,"Pumicestone Rd at Toorbul Hall hail 'n' ride",, -27.033253, 153.096334,4,https://translink.com.au/stop/317176/gtfs/,0,,
317183,317183,"Taperell Dr near Wickham Cr",, -28.147170, 153.484623,6,https://translink.com.au/stop/317183/gtfs/,0,,
317185,317185,"Kitchener St near Morshead St",, -28.148551, 153.496495,6,https://translink.com.au/stop/317185/gtfs/,0,,
317186,317186,"Toolona St near Atkin St",, -28.144748, 153.492943,6,https://translink.com.au/stop/317186/gtfs/,0,,
317193,317193,"Kaleena St near Cabarita Ave",, -28.147731, 153.493214,6,https://translink.com.au/stop/317193/gtfs/,0,,
3172,003172,"Phillips St at St Josephs",, -27.327343, 153.034177,2,https://translink.com.au/stop/003172/gtfs/,0,,
317211,317211,"Arenga St near Manly Rd",, -27.476601, 153.151927,2,https://translink.com.au/stop/317211/gtfs/,0,,
